GrandSlamID,PlayerId,Position,GrandSlam,Date
1,2,W,Australian Open,2018
2,1,F,Australian Open,2018
3,11,S,Australian Open,2018
4,15,S,Australian Open,2018
5,5,Q,Australian Open,2018
6,7,Q,Australian Open,2018
7,10,Q,Australian Open,2018
8,17,W,Australian Open,2019
9,8,F,Australian Open,2019
10,7,S,Australian Open,2019
12,21,Q,Australian Open,2019
13,5,Q,Australian Open,2019
14,16,Q,Australian Open,2019
15,26,W,Australian Open,2020
16,3,F,Australian Open,2020
17,1,S,Australian Open,2020
18,16,S,Australian Open,2020
19,8,Q,Australian Open,2020
