PlayerId,Name,Country,Age
1,Simona Halep,ROU,29
2,Caroline Wozniacki,DEN,30
3,Garbine Muguruza,ESP,27
4,Sloane Stephens,USA,27
5,Elina Svitolina,UKR,26
6,Caroline Garcia,FRA,27
7,Karolina Pliskova,CZE,28
8,Petra Kvitova,CZE,30
9,Venus Wiliams,USA,40
10,Madison Keys,USA,25
11,Angelique Kerber,GER,32
12,Jelena Ostapenkow,LAT,23
13,Julia Goegers,GER,32
14,Daria Kastakina,RUS,23
15,Elise Mertens,BEL,25
16,Ashleigh Barty,AUS,24
17,Naomi Osaka,JPN,23
18,Kiki Bertens,NED,28
19,Anastazija Sevastova,LAT,30
20,Aryna Sabalenka,BLR,22
21,Serena Wiliams,USA,39
22,Belinda Bencic,SUE,23
23,Qiang Wang,CHN,28
24,Bianca Adreescu,CAN,20
25,Johanna Konta,GBR,29
26,Sofia Kenin,USA,22
27,Petra Martic,CRO,29
28,Victoria Azarenka,BLR,31
