RankingID,PlayerId,Points,Position,Date
1,1,7970,1,2018-06-25
2,2,6745,2,2018-06-25
3,3,6550,3,2018-06-25
4,4,5463,4,2018-06-25
5,5,5250,5,2018-06-25
6,6,4960,6,2018-06-25
7,7,4685,7,2018-06-25
8,8,4610,8,2018-06-25
9,9,3971,9,2018-06-25
10,10,3536,10,2018-06-25
11,11,3460,11,2018-06-25
12,12,3392,12,2018-06-25
13,13,3210,13,2018-06-25
14,14,3125,14,2018-06-25
15,15,2635,15,2018-06-25
16,1,6921,1,2018-12-31
17,11,5875,2,2018-12-31
18,2,5586,3,2018-12-31
19,5,5350,4,2018-12-31
20,17,5115,5,2018-12-31
21,4,5023,6,2018-12-31
22,8,4630,7,2018-12-31
23,7,4465,8,2018-12-31
24,18,4335,9,2018-12-31
25,14,3415,10,2018-12-31
26,19,3240,11,2018-12-31
27,15,3165,12,2018-12-31
28,20,3145,13,2018-12-31
29,13,3055,14,2018-12-31
30,16,2985,15,2018-12-31
31,16,6540,1,2019-06-24
32,17,6377,2,2019-06-24
33,7,5685,3,2019-06-24
34,18,5425,4,2019-06-24
35,11,4685,5,2019-06-24
36,8,4555,6,2019-06-24
37,1,3963,7,2019-06-24
38,5,3868,8,2019-06-24
39,4,3682,9,2019-06-24
40,20,3565,10,2019-06-24
41,21,3411,11,2019-06-24
42,19,3296,12,2019-06-24
43,22,3073,13,2019-06-24
44,2,2833,14,2019-06-24
45,23,2752,15,2019-06-24
46,16,7851,1,2019-12-30
47,7,5940,2,2019-12-30
48,17,5496,3,2019-12-30
49,1,5462,4,2019-12-30
50,24,5133,5,2019-12-30
51,5,5075,6,2019-12-30
52,8,4776,7,2019-12-30
53,22,4685,8,2019-12-30
54,18,4245,9,2019-12-30
55,21,3935,10,2019-12-30
56,20,3120,11,2019-12-30
57,25,2879,12,2019-12-30
58,10,2767,13,2019-12-30
59,26,2740,14,2019-12-30
60,27,2617,15,2019-12-30
61,16,8717,1,2020-12-07
62,1,7255,2,2020-12-07
63,17,5780,3,2020-12-07
64,26,5760,4,2020-12-07
65,5,5260,5,2020-12-07
66,7,5205,6,2020-12-07
67,24,4555,7,2020-12-07
68,8,4516,8,2020-12-07
69,18,4505,9,2020-12-07
70,20,4220,10,2020-12-07
71,21,4080,11,2020-12-07
72,22,4010,12,2020-12-07
73,28,3426,13,2020-12-07
74,25,3152,14,2020-12-07
75,3,3016,15,2020-12-07
