TournamentsID,PlayerId,Court,City,Date,LEVEL,Position
1,17,Hard,Indian Wells,2018,Premier Mandatory,W
2,14,Hard,Indian Wells,2018,Premier Mandatory,F
3,1,Hard,Indian Wells,2018,Premier Mandatory,S
4,9,Hard,Indian Wells,2018,Premier Mandatory,S
5,7,Hard,Indian Wells,2018,Premier Mandatory,Q
6,27,Hard,Indian Wells,2018,Premier Mandatory,Q
7,11,Hard,Indian Wells,2018,Premier Mandatory,Q
8,24,Hard,Indian Wells,2019,Premier Mandatory,W
9,11,Hard,Indian Wells,2019,Premier Mandatory,F
10,22,Hard,Indian Wells,2019,Premier Mandatory,S
11,5,Hard,Indian Wells,2019,Premier Mandatory,S
12,3,Hard,Indian Wells,2019,Premier Mandatory,Q
13,9,Hard,Indian Wells,2019,Premier Mandatory,Q
14,7,Hard,Indian Wells,2019,Premier Mandatory,Q
15,4,Hard,Miami,2018,Premier Mandatory,W
16,12,Hard,Miami,2018,Premier Mandatory,F
17,28,Hard,Miami,2018,Premier Mandatory,S
18,7,Hard,Miami,2018,Premier Mandatory,Q
19,11,Hard,Miami,2018,Premier Mandatory,Q
20,9,Hard,Miami,2018,Premier Mandatory,Q
21,5,Hard,Miami,2018,Premier Mandatory,Q
22,16,Hard,Miami,2019,Premier Mandatory,W
23,7,Hard,Miami,2019,Premier Mandatory,F
24,1,Hard,Miami,2019,Premier Mandatory,S
25,8,Hard,Miami,2019,Premier Mandatory,Q
26,23,Hard,Miami,2019,Premier Mandatory,Q
27,8,Clay,Madrid,2018,Premier Mandatory,W
28,18,Clay,Madrid,2018,Premier Mandatory,F
29,7,Clay,Madrid,2018,Premier Mandatory,S
30,14,Clay,Madrid,2018,Premier Mandatory,Q
31,1,Clay,Madrid,2018,Premier Mandatory,Q
32,18,Clay,Madrid,2019,Premier Mandatory,W
33,1,Clay,Madrid,2019,Premier Mandatory,F
34,4,Clay,Madrid,2019,Premier Mandatory,S
35,22,Clay,Madrid,2019,Premier Mandatory,S
36,8,Clay,Madrid,2019,Premier Mandatory,Q
37,27,Clay,Madrid,2019,Premier Mandatory,Q
38,17,Clay,Madrid,2019,Premier Mandatory,Q
39,16,Clay,Madrid,2019,Premier Mandatory,Q
40,2,Hard,Beijing,2018,Premier Mandatory,W
41,19,Hard,Beijing,2018,Premier Mandatory,F
