TournamentsID,PlayerId,Court,City,Date,LEVEL,Position
1,17,Hard,Indian Wells,2018,Premier Mandatory,W
2,14,Hard,Indian Wells,2018,Premier Mandatory,F
3,1,Hard,Indian Wells,2018,Premier Mandatory,S
4,9,Hard,Indian Wells,2018,Premier Mandatory,S
5,7,Hard,Indian Wells,2018,Premier Mandatory,Q
6,27,Hard,Indian Wells,2018,Premier Mandatory,Q
7,11,Hard,Indian Wells,2018,Premier Mandatory,Q
8,24,Hard,Indian Wells,2019,Premier Mandatory,W
9,11,Hard,Indian Wells,2019,Premier Mandatory,F
10,22,Hard,Indian Wells,2019,Premier Mandatory,S
11,5,Hard,Indian Wells,2019,Premier Mandatory,S
12,3,Hard,Indian Wells,2019,Premier Mandatory,Q
13,9,Hard,Indian Wells,2019,Premier Mandatory,Q
14,7,Hard,Indian Wells,2019,Premier Mandatory,Q
